cell_line_id,cell_line_name,organ,site_type,disease,age,sex,category,species
CVCL_A162,"Ma-Mel-26a,Ma-Mel_26A,Ma-Mel-26A,Ma-Mel 26a,MaMel26a",Lymph node,Metastatic,Melanoma,73Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_N785,Ma-Mel-26b,,,Melanoma,73Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A164,"Ma-Mel-28,Ma-Mel_28,Ma-mel-28,MaMel28","Skin,Hypodermis","Metastatic,Metastatic",Melanoma,65Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A166,Ma-Mel-31,Lymph node,Metastatic,Melanoma,46Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A167,"Ma-Mel-32,MaMel32",Lymph node,Metastatic,Melanoma,14Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A168,Ma-Mel-33,"Skin,Hypodermis","Metastatic,Metastatic",Melanoma,62Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A169,Ma-Mel-34,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_A171,"Ma-Mel-36,Ma-Mel_36,Ma-Mel 36,MaMel-36,MaMel36",Cutaneous,Metastatic,Melanoma,27Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A174,"Ma-Mel-38,MaMel38",Lymph node,Metastatic,Melanoma,63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A175,"Ma-Mel-39a,Ma-Mel_39a,Ma-Mel-39A,Ma-Mel 39a,MaMel39a","Skin,Hypodermis","Metastatic,Metastatic",Melanoma,57Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A176,"Ma-Mel-40,Ma-Mel_40,Ma-Mel 40,MaMel40","Skin,Hypodermis","Metastatic,Metastatic",Melanoma,61Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A177,Ma-Mel-41,"Skin,Hypodermis","Metastatic,Metastatic",Melanoma,37Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A178,Ma-Mel-42,Ascites,Metastatic,Melanoma,80Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C572,"Ma-Mel-42a,Ma-Mel_42A,Ma-Mel 4,Ma-Mel-42A",,,Melanoma,Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C287,Ma-Mel-42b,,,Melanoma,Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A179,Ma-Mel-43,"Skin,Hypodermis","Metastatic,Metastatic",Melanoma,48Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A180,"Ma-Mel-45a,Ma-Mel_45A,Ma-Mel-45A,Ma-Mel 45a,MaMel45a",Brain,Metastatic,Melanoma,39Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C262,Ma-Mel-45b,,,Melanoma,39Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A181,"Ma-Mel-46,Ma-Mel_46,Ma-Mel 46","Skin,Hypodermis","Metastatic,Metastatic",Melanoma,51Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A182,Ma-Mel-47,Lymph node,Metastatic,Melanoma,33Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A183,"Ma-Mel-48a,Ma-Mel_48A,Ma-Mel-48A,Ma-Mel 48a",Skin,Metastatic,Melanoma,87Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_N786,Ma-Mel-48b,Lymph node,Metastatic,Melanoma,88Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_N787,Ma-Mel-48c,Lymph node,Metastatic,Melanoma,88Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A184,Ma-Mel-49,Ascites,Metastatic,Melanoma,71Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A185,Ma-Mel-50,Ascites,Metastatic,Melanoma,62Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_RN38,"Ma-Mel-50b,Ma-Mel_50B,Ma-Mel 50b",,,Melanoma,62Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A186,"Ma-Mel-51,MaMel51",Lymph node,Metastatic,Melanoma,48Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A187,"Ma-Mel-52,Ma-Mel_52,Ma-Mel 52","Skin,Hypodermis","Metastatic,Metastatic",Melanoma,62Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A188,"Ma-Mel-53,MaMel-53,MaMel53,Ma-Mel-53a,Ma-Mel 53a","Skin,Hypodermis","Metastatic,Metastatic",Melanoma,69Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A189,"Ma-Mel-54a,Ma-Mel_54a,Ma-Mel 54a",Lymph node,Metastatic,Melanoma,41Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C288,Ma-Mel-54b,Cutaneous,Metastatic,Melanoma,41Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A190,Ma-Mel-55,Lymph node,Metastatic,Melanoma,39Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A191,Ma-Mel-56,Lymph node,Metastatic,Melanoma,65Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A192,"Ma-Mel-57,Ma-Mel_57,Ma-Mel 57,MaMel57",Lymph node,Metastatic,Melanoma,78Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A193,"Ma-Mel-58,Ma-Mel_58,Ma-Mel 58,MaMel58",Ascites,Metastatic,Melanoma,54Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C291,"Ma-Mel-61a,Ma-Mel_61A,Ma-Mel-61A,Ma-Mel 61a,MaMel61a,Ma-Mel-61",Lymph node,Metastatic,Melanoma,29Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C292,"Ma-Mel-61b,MaMel61b",Cutaneous,Metastatic,Melanoma,29Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_S666,Ma-Mel-61c,Lymph node,Metastatic,Melanoma,29Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_S667,Ma-Mel-61e,Lung,Metastatic,Melanoma,31Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_S668,Ma-Mel-61f,Not specified,Metastatic,Melanoma,31Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_S669,Ma-Mel-61g,Cutaneous,Metastatic,Melanoma,31Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_S670,Ma-Mel-61h,Cutaneous,Metastatic,Melanoma,31Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A198,"Ma-Mel-63a,Ma-Mel_63A,Ma-Mel-63A,Ma-Mel 63a,MaMel63a","Skin,Hypodermis","Metastatic,Metastatic",Melanoma,44Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C293,Ma-Mel-63b,,,Melanoma,44Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A199,Ma-Mel-64,Ascites,Metastatic,Melanoma,59Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A200,"Ma-Mel-65,Ma-Mel_65,Ma-Mel 65",Lymph node,Metastatic,Melanoma,24Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A203,"Ma-Mel-67,Ma-Mel_67,Ma-Mel 67,MaMel67",Lymph node,Metastatic,Melanoma,51Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A204,Ma-Mel-68,Lymph node,Metastatic,Melanoma,43Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A206,Ma-Mel-70,"Skin,Hypodermis","Metastatic,Metastatic",Melanoma,76Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A210,"Ma-Mel-74,Ma-Mel_74,Ma-Mel 74",Lymph node,Metastatic,Melanoma,59Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A216,Ma-Mel-81,"Skin,Hypodermis","Metastatic,Metastatic",Melanoma,30Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A217,"Ma-Mel-82,Ma-Mel_82,Ma-Mel 82,MaMel82",Lymph node,Metastatic,Melanoma,65Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A218,"Ma-Mel-83,MaMel-83,MaMel83",Lymph node,Metastatic,Melanoma,42Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A219,"Ma-Mel-84,Ma-Mel_84,Ma-Mel 84",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_A220,"Ma-Mel-85,Ma-Mel_85,Ma-mel-85,Ma-Mel 85,MaMel85","Skin,Hypodermis","Metastatic,Metastatic",Melanoma,38Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A223,Ma-Mel-90,"Skin,Hypodermis","Metastatic,Metastatic",Melanoma,45Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A224,"Ma-Mel-91,MaMel91","Skin,Hypodermis","Metastatic,Metastatic",Melanoma,69Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A225,"Ma-Mel-92,MaMel92",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_A226,Ma-Mel-92d,"Skin,Hypodermis","Metastatic,Metastatic",Melanoma,63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A227,Ma-Mel-93,"Skin,Hypodermis","Metastatic,Metastatic",Melanoma,75Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_VK42,Ma-Mel-93I,"Skin,Hypodermis","Metastatic,Metastatic",Melanoma,75Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A230,Ma-Mel-96,"Skin,Hypodermis","Metastatic,Metastatic",Melanoma,45Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A231,Ma-Mel-97,Lymph node,Metastatic,Melanoma,38Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C505,"Ma-Mel-KNUD,KNUD,MaMel-KNUD,MaMel_KNUD",,,Melanoma,Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_1438,"Malme-3M,MALME-3M,MALME 3M,Malme-3 M,MALME.3M,Malme3M,MALME3M,Malme-3 Monolayer",Lung,Metastatic,Melanoma,43Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_1E90,"Malme-3S,Malme-3 Suspension",Lung,Metastatic,Melanoma,43Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_VQ11,"MAR-Mel,MAR",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_VQ02,"MARO 54,MARO54",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_8158,Mash-1,Ascites,Metastatic,Melanoma,39Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_VQ03,"MAVI 74,MAVI74",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_A2FY,"MBA72,Mba72",Right temple,Metastatic,Melanoma,82Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_A2FZ,MBA72R,Right temple,Metastatic,Melanoma,82Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_DH35,MCM1,Skin,In situ,Melanoma,61Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_DH36,MCM1G,Skin,In situ,Melanoma,61Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C598,Me-116,,,Melanoma,Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_L911,"ME1,ME-1",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_L917,"ME10,ME-10",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF01,Me10258,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_A1SG,"ME1042,ME 1042",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF02,Me1274,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C669,Me1340,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_VU55,"Me1386,Me 1386",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE94,Me13923,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C671,Me13924,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF03,"Me14362,Me#14362",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF04,"Me14464,14464",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_VT17,"Me15,ME15",Lymph node,Metastatic,Melanoma,56Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_HF05,Me15094,Soft tissue,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C604,"Me15392,Me-15392,Me 15392,15392,15392M",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF06,Me15479,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_L918,"ME16,ME-16",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_L919,"ME17 [Human melanoma],ME-17",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_V024,Me17088/1,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_V019,Me17697,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_L920,"ME18,ME-18",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_VU56,"Me18105,ME 18105",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C675,"Me1811,ME1811,Me 1811",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF07,"Me18656,18656",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C676,"Me18732,18732",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF08,Me18816,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_L921,"ME19,ME-19",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF09,Me19410,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_L912,"ME2,ME-2",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_L922,ME20,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_V020,Me20842,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE92,Me20842M1,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE93,Me20842M2,Hypodermis,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_L923,"ME21,ME-21",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE95,Me21158,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_L924,"ME22,ME-22",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF10,"Me2211,Me#2211",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_L925,"ME23,ME-23",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF11,Me23526,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF12,Me23682,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_V025,"Me2559/1,Me2559",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF13,Me26635,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE39,"Me28,Me 28,Melanoma 28",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF14,Me29318,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE96,Me2934,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF15,Me3044,Soft tissue,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C677,Me3046/2,Hypodermis,Metastatic,Melanoma,62Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C678,"Me3068,ME3068",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF16,Me32562,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF17,Me32669,Hypodermis,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE97,Me3700,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_V021,"Me4023,4023",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_V022,"Me4024/1,Me 4024/1",Hypodermis,Metastatic,Melanoma,53Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_V023,"Me4024/2,Me 4024/2",Hypodermis,Metastatic,Melanoma,53Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_HE98,Me4473,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_K048,"Me45,Me-45",Lymph node,Metastatic,Melanoma,35Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_HE99,"Me4686,4686",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C681,Me4855,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_L913,"ME5,ME-5",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_VT18,"Me51,ME51",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_VT19,"Me59,ME59",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_VT21,"Me59/4,ME59/4,ME59/cl4",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
